user,text,hashtags,created_at
kelly_mcgookin,@British_Airways hi! Trying to amend a flight and hotel booking for this week (the original flights were changed and no longer suit) but can’t get through via chat or phone. Can you help? #urgent,"[{'text': 'urgent', 'indices': [188, 195]}]",2021-11-01 17:10:30+00:00
vishalvalentine,@British_Airways I have sent you a DM. Could you please reply when possible. Thank you.,[],2021-11-01 17:09:53+00:00
smeukltd,"@British_Airways Hi , I am really struggling to find the correct option for my up and coming trip to North America. (25th Nov to 30th Nov) , am booked to YYZ all good but trying to find out if i am able to drive into the USA? I am fully vaxed, and will obey AriveCAN app rules",[],2021-11-01 17:09:44+00:00
adelaidepoet,@British_Airways I am flying tomorrow and my covid certificate has been rejected (it says it hasn't been uploaded). I have tried 3 more times since and no response yet. Can I sort this at the airport tomorrow? Really in need of help!!,[],2021-11-01 17:08:58+00:00
therachaeledit,"@British_Airways Hello, nerdy photography question for you. I've booked seat 67A on the A380, do you know if this is an actual window or not please? Thanks! 📷✈️",[],2021-11-01 17:06:52+00:00
adelaidepoet,"@British_Airways I am flying tomorrow and my covid certificate has been rejected (it says I have just not uploaded it), I have uploaded it again at least three times but no response yet! Can this be sorted at the airport tomorrow during check in? Really need help before I fly!",[],2021-11-01 17:04:53+00:00
lmcb2802,@British_Airways Is anyone going to get back to me?? I’ve just had an email and called the number on it and was told your too busy to take my call and cut me off! I’ve dm’d info days ago and no response !,[],2021-11-01 17:04:32+00:00
22_geh,@British_Airways @British_Airways has everyone gone home for the evening? I replied to a private message at 14.04 today. I have a flight booked at 10am tomorrow morning and I need answers.,[],2021-11-01 17:03:46+00:00
HAYDNxx,@British_Airways unable to manage my booking online. Can you help?,[],2021-11-01 17:03:38+00:00
merseybean,"@British_Airways Hi BA, I need a connecting return flight on a holiday booking changed as it flies before a re arranged (by you) lands at LHR. Do you have a direct line i can call.",[],2021-11-01 17:03:36+00:00
RGuerrina,@British_Airways Thank you I have DM’d you.,[],2021-11-01 17:03:30+00:00
LucyNabijou,@British_Airways for goodness sake have some human decency and do NOT fly Remi Ali tomorrow on flight BA814 to Denmark. He will be in immediate danger of refoulement to Syria where his life will be in grave danger.,[],2021-11-01 17:02:55+00:00
mol_molly,@British_Airways  been trying to sort a booking and have been constantly calling and pit on hold for several hrs and still no help. I need urgent assistance,[],2021-11-01 16:57:53+00:00
clarkefergus,"@British_Airways Yes, there was an update to the interface yesterday that allowed me to accept. Thank you.",[],2021-11-01 16:57:08+00:00
MrMoust69617364,@British_Airways Thank you!,[],2021-11-01 16:56:47+00:00
mdial,@British_Airways But it also allows me to do TSA pre approved in the US... and for that I need it on my boarding pass I was told.,[],2021-11-01 16:54:02+00:00
katiejayyy,@British_Airways I contacted you last week regarding our recent flight to LA and would like our issue resolved. We were advised reaching out on this platform was the quickest way to resolve the issue,[],2021-11-01 16:51:58+00:00
ImSafc30,@British_Airways don’t bother phoning as I’ve tried numerous times today and get cut off all the time.,[],2021-11-01 16:50:52+00:00
Godzi74,"@British_Airways massive shout out to the cabin crew on BA0573 from MXP today. Was asked if I could move to an emergency exit empty row (from 2F), accepted &amp; got the best inflight service. Please pass the message on 🙌🙌👌 #britishairways #bacabincrew #topcustomerservice #flyba","[{'text': 'britishairways', 'indices': [224, 239]}, {'text': 'bacabincrew', 'indices': [240, 252]}, {'text': 'topcustomerservice', 'indices': [253, 272]}, {'text': 'flyba', 'indices': [273, 279]}]",2021-11-01 16:50:27+00:00
Cyrilofficials,"@British_Airways @HeathrowAirport  Hello team, My friend is travelling from Lisbon to new Delhi (Indian national) and there is a transit at London Heathrow airport with same airline (same PNR). Do we need to apply for a transit visa?",[],2021-11-01 16:48:06+00:00
kskhatter,@British_Airways @_DigitalIndia Cheaters (@PineLabs @olamoney_in)  always cheat they never change..Digital india was formed to cheat merchant and customers and to development corporate companies .    @PMOIndia @consumercourtin @RBI @RBIsays @UPI_NPCI @MobiKwikSWAT @FinMinIndia @nsitharamanoffc,[],2021-11-01 16:46:41+00:00
PrincessChernay,@British_Airways I uploaded my covid-19 travel documents this morning however have received no updates yet my colleague who did this at the same time has already been verified? I’ve tried checking my status online but the page displays no useful information I fly tomorrow morning,[],2021-11-01 16:46:30+00:00
alexeschimmel,@British_Airways I am in a chat waiting room and somehow falling further behind in the queue. Can someone please help me with a voucher query?,[],2021-11-01 16:45:32+00:00
Sandraritchie14,"@British_Airways I've spent the whole afternoon on 4 separate calls to your Bronze member help line. On the 3rd attempt I got to speak to someone but the line was so bad he hung up before we finished. Every other time after about an hour in to my wait, I get cut off. Suggestions?",[],2021-11-01 16:44:00+00:00
dee_ech281,@British_Airways I have.,[],2021-11-01 16:43:04+00:00
ryanlgray,@British_Airways It’s ok it’s been dealt with now. I’d love to know why a celeb gets a response in a few mins where as the average customer takes days. Ah well guess it’s all about priorities for BA and the number of Twitter followers obviously have an impact on response times.,[],2021-11-01 16:41:24+00:00
KateBaucherel,@British_Airways do I need a Fit to Fly certificate to board an outbound flight from the UK? The website guidance is as clear as mud... destination does not require it for fully vaccinated visitors.,[],2021-11-01 16:41:16+00:00
boracay70,"@British_Airways  My case ref 22380511 My initial conversation with your call center was on 29th September!!! Very very poor service BA, not impressed. Come on, sort it out!!!!",[],2021-11-01 16:39:48+00:00
wtfstephen,@British_Airways still waiting 4 days later. Just tell me step-by-step process to booking a spa package. I’m not booking a flight that is different. I know how to do that. I know it’s a weird route online. HELP,[],2021-11-01 16:38:30+00:00
ryanlgray,@British_Airways @FlyLoganair Thanks for getting back to me.,[],2021-11-01 16:37:30+00:00
ChrisJewson,"@British_Airways your customer service is a joke, all I want to do is rebook a flight. I was on hold for 28 minutes only to be told I needed to be transferred to another department and then put on hold again!!",[],2021-11-01 16:36:23+00:00
ForeignerAUS,@British_Airways Hi. I'm just wondering how I can book a reward flight to arrive to then depart from two different destinations. Or do I need to book two one-way flights?,[],2021-11-01 16:35:04+00:00
mdial,@British_Airways I would like to add Global Entry to my BA profile so that it is marked on my boarding pass for my upcoming trip. How to do that??,[],2021-11-01 16:34:06+00:00
harikanduri,"@British_Airways Thanks very much Monica, you made my day. Love you @British_Airways",[],2021-11-01 16:33:37+00:00
LauraDyer1,@British_Airways  onto my 7th hour long call with no answer to executive club to change dates. Help??! Or does this not exist on Ba,[],2021-11-01 16:32:20+00:00
cassidylea__,@British_Airways how can I change a cancelled flight if you’ve not sent options for others!? It’s impossible to do online since there’s no “manage my booking” option! Absolute joke to get a reply from you too.,[],2021-11-01 16:31:36+00:00
crascott100,@British_Airways what easy journey. First time through LCY. Great to hear the words “welcome onboard…”Enjoyed the flight on the #E190,"[{'text': 'E190', 'indices': [128, 133]}]",2021-11-01 16:29:59+00:00
jensmart1234,"@British_Airways Thank you for your reply, however I managed to book the seats this morning so all ok now.",[],2021-11-01 16:29:04+00:00
MRSTYRES,@British_Airways holiday to turtle beach hotel in Barbados 17th November.  Very concerned that the hotel is not up to its 4*status Dirty pools/public spaces. Limited food choices and under  hotel understafffed Can you offer any reassurance?,[],2021-11-01 16:28:43+00:00
hayleym40315188,@British_Airways Sean Doyle is this the new policy - sell flights but don't let people travel? keep the funds to make money? https://t.co/6ZfP1WCt7g,[],2021-11-01 16:25:35+00:00
RichardShead,@British_Airways Thank you.,[],2021-11-01 16:24:39+00:00
dromomanimike,@British_Airways Lovely Rob cheers for the quick reply 👌,[],2021-11-01 16:22:41+00:00
c_chiap,@British_Airways Is there a reason my @AlaskaAir Mileage points haven’t arrived 9 weeks after traveling with you!?!,[],2021-11-01 16:22:01+00:00
pedant70,"@British_Airways I am trying to contact you to report the death of my husband, to whom you continue to send emails. How can I do this?",[],2021-11-01 16:21:28+00:00
Ads_LDN,@British_Airways It sorted itself out. Thanks anyway,[],2021-11-01 16:19:41+00:00
Marathi__,"@British_Airways You fly from Mumbai but there is no option of Marathi language , Marathi entertainment in your flights. Langauge of Mumbai is Marathi. Kindly provide option of Marathi to people travelling from Mumbai. जय महाराष्ट्र.... https://t.co/MqJxWFfNpS",[],2021-11-01 16:18:22+00:00
DrRobertJoylove,"@British_Airways Disgusted, that when your plane goes tec, and you need to unload 26 passengers, you pressurise my 14 year old Daughter travelling alone to volunteer, and when she says she has to be on the flight you ignore her, even when she is in tears. Shame on you BA.",[],2021-11-01 16:17:49+00:00
annamcalister31,@British_Airways Thanks - does the passport need to be in date though?,[],2021-11-01 16:17:21+00:00
Batraxios,"@British_Airways Hello team, I have to cancel my Avios flight and I would prefer to have a refund of the Avios used rather than a voucher. Is there a way to do this without calling the call center?",[],2021-11-01 16:16:46+00:00
DrRobertJoylove,"@British_Airways No response from twitter, no response from email sent, and customer services are not taking calls. How do you suggest I deal with the issues I have?. GCH for 10 years and this is how you are treated.",[],2021-11-01 16:16:42+00:00
AndreaReed70,@British_Airways I’ve lost count the number of times I’ve tried to call! It just cuts you off!,[],2021-11-01 16:16:07+00:00
goodguyjas,@British_Airways what is happening with flight ba2612? Cancelled all week. And shows rerouted on Sunday via Gatwick which shows cancelled. Please can you be clear on what is going on so I can book another airline if this isn’t going to fly Sunday. Thanks.,[],2021-11-01 16:15:49+00:00
blondehair79,@British_Airways @British_Airways booked via your website and received an error message stating it was unable to book. Managed to book the flight and now I am booked on twice. I've called and messaged without success. I would like the duplicate booking cancelled and refunded.,[],2021-11-01 16:12:56+00:00
Caitlinh24,@British_Airways Your employees stole my medication from my checked baggage. I need help now getting home because I'm feeling sick without the medications I need to take.,[],2021-11-01 16:12:14+00:00
tinazawadzki,"@British_Airways Hi there, need help with using a voucher asap and cant' get through on the phone! please help :)",[],2021-11-01 16:12:00+00:00
FXM16297781,@British_Airways After being on hold for almost 2hrs I got through. Lady took my details and then the line cut.....,[],2021-11-01 16:10:24+00:00
Venkatn48154523,"@British_Airways  hi I could not use vouchers online despite many attempts, it says my last name and email does not match despite I entered correctly. Can you please get back to me? I am really worried.",[],2021-11-01 16:08:27+00:00
ninamiles,"@British_Airways I have read all that ! We will in future not rely on your services this is not the first time we have received sub standard service at extremely high prices , we purchase an average of 12 flights per year per family member and will now advise corporate to ignore BA in future",[],2021-11-01 16:08:13+00:00
MrMoust69617364,"@British_Airways trying to check in online, can you tell me if my cabin bag needs to be checked in on the “How many bags do you have to check in?” page?",[],2021-11-01 16:07:00+00:00
SimonStirrat,@British_Airways Hello! 2 quick lounge questions: what are the hours of the T5B Lounge at LHR currently and is the business centre open/printers working? I'd like to print off my COVID test to make immigration easier at Dubai. Thanks!,[],2021-11-01 16:04:46+00:00
BreenRachael,@British_Airways I would recommend that people don’t book any type of trip or flight with BA as you are unable to speak to anyone if you want to change or cancel! Oh wait you recommend to change it online but no you can’t! Ring back at another time!? Nope that doesn’t work!,[],2021-11-01 16:03:41+00:00
ayisha1992_xo,@British_Airways Aw thank you 🙏🏼,[],2021-11-01 16:02:46+00:00
chickenleg73,"@British_Airways if as by your bio you are here to help 24 hours a day ,7 days a week why haven't you responded to my DM?",[],2021-11-01 16:01:23+00:00
dee_ech281,@British_Airways I’ve been trying to get through to speak to someone for 2 days now. When someone does eventually answer they don’t help.,[],2021-11-01 15:57:34+00:00
sar_aha,@British_Airways had to call you to use my flight voucher as I was unable to use it online as it was for two people and the charge was £43 for the phone call. How is this acceptable???? Please advise,[],2021-11-01 15:52:33+00:00
drawndragon,"@British_Airways you are not accepting any customer calls, there’s no online chat help! I need to urgently change my travel dates on booking. Your online portal “cannot process change online” “contact us” for help. HOW!????",[],2021-11-01 15:52:32+00:00
ByrneT_,@British_Airways can I confirm that me and my 3yr old don't need to take a covid test before boarding an Austin to London flight?,[],2021-11-01 15:49:39+00:00
JohnLawson212,@British_Airways I’ve received a voucher. The BA booking system is not accepting it when I try to use it,[],2021-11-01 15:49:15+00:00
UNDERCOVER_JM,@British_Airways @edhoppitt His names Ed not Monica! 😂 #Punctuation.,"[{'text': 'Punctuation', 'indices': [55, 67]}]",2021-11-01 15:48:29+00:00
JohnLawson212,"@British_Airways note that your recorded message (that I’ve listened to many times today) refers to a ‘24/7 online chat service’ that can be used to contact BA. As far as I can see, that chat service does not currently exist. No trace of it on any of your websites.",[],2021-11-01 15:48:19+00:00
sheenabean13,@British_Airways Done!,[],2021-11-01 15:48:11+00:00
Adamtaylorgolf,@British_Airways 22362635. Filled in on the 4th October,[],2021-11-01 15:45:43+00:00
JohnLawson212,"@British_Airways on the one occasion I did get through to someone, they confirmed that it was a valid voucher number but asked me to dial an executive club number, which they provided for me. I’ve been dialling them number but I’m not getting anywhere",[],2021-11-01 15:45:33+00:00
MemoryLBarber,@British_Airways seriously guys how can it be so hard to talk to someone and address my problem? I also have a job and cannot spend hours on the phone only to be cut off for no reason (more than once),[],2021-11-01 15:45:17+00:00
thetravellingmo,@British_Airways @petelondon3214 I’ve experienced the exact same thing. Surely this is easy enough to sort out?,[],2021-11-01 15:44:03+00:00
JohnLawson212,@British_Airways when I try to book a flight I am seeing an option to use a voucher but when I am inputing the voucher details they are not being accepted by your system. Please advise.,[],2021-11-01 15:43:35+00:00
SeanPhilipLim,"@British_Airways Dear BA, I have called the Executive Club hotline 3x and have been automatically hung up upon after an hour each time. Unacceptable! Need to use my future travel voucher. Help!",[],2021-11-01 15:42:43+00:00
MadsDal81,"@British_Airways Hello, I have business class flights with you to Barbados tomorrow but my wife has been admitted to A&amp;E overnight. I have tried your phone lines, been cut-off every time, your web chat doesnt work and now I’ve joined twitter just so I can tweet you. 07974128213",[],2021-11-01 15:42:09+00:00
cassidylea__,@British_Airways Why does the internet tell me to use the manage my booking option to change a cancelled flight when it’s impossible and nothing comes up to do it?,[],2021-11-01 15:42:03+00:00
JohnLawson212,@british_airways I’ve spent over 4 hours today on various contact numbers trying to reach someone at BA to discuss an issue I’m having spending a eVoucher that you had given me in place of a cancelled flight earlier this year,[],2021-11-01 15:41:48+00:00
FaadilD,@British_Airways my flight is tomorrow and I need urgent help about my Covid test but your centres are not accepting calls! Please advise me ASAP!,[],2021-11-01 15:41:43+00:00
littletreelearn,@British_Airways Sent a DM,[],2021-11-01 15:40:50+00:00
RayHealey,@British_Airways hi if I do online check do I have to take bags to the check in desk at the airport and if so how soon before the flight can I drop the bags off. Thanks,[],2021-11-01 15:39:12+00:00
timwagg,@British_Airways Thanks. Have just sent a DM.,[],2021-11-01 15:39:06+00:00
ayshcl,@British_Airways hello! I need help changing my flight. Can you please reply to your DMs. Thanks.,[],2021-11-01 15:38:53+00:00
FXM16297781,"@British_Airways Been on hold for over an hour now, please can I speak to someone?",[],2021-11-01 15:37:32+00:00
ssgill75,"@British_Airways In that case I would have to change the flight date, correct?  So how long after a positive test do I wait to choose a date for?",[],2021-11-01 15:36:56+00:00
cassidylea__,@British_Airways can you reply to my dm please?,[],2021-11-01 15:36:32+00:00
harikanduri,"@British_Airways Yes kiran, but the question is how can an infant be tested ? I asked almost all the covid-19 test providers and none of them say infants are needed to be provided with the test. As you eould have the up to date information, can you please look into?",[],2021-11-01 15:33:57+00:00
karthic_sampath,@British_Airways I have requested assistance option 2 for my parents who are travelling to London Heathrow. Would somebody help with getting the baggage off the belt and bring them out to the airport where I can take it from there please? Thanks @londonheathrow,[],2021-11-01 15:33:54+00:00
iestynt,@British_Airways  SHAME ON YOU BA! Not only have you lost our flights and vouchers that we saved up for but you are now ignoring us for months because you can not find them. We have written a formal complaint letter and sent it to you signed and registered yet still nothing.,[],2021-11-01 15:33:25+00:00
AndreaReed70,@British_Airways I have already sent several DMs. No reply!,[],2021-11-01 15:31:29+00:00
lloydsarah1991,"@British_Airways I am due to travel on flight BA2730 LHR to TFS on Sunday 7th November, app now says flight rerouted but no further info? Please advise.",[],2021-11-01 15:25:57+00:00
ClaireReid130,@British_Airways My booking is in less than 2 weeks and I still can’t get to speak to someone… I have called over 50 times this week alone. It’s unacceptable,[],2021-11-01 15:25:25+00:00
bunchyboo123,@British_Airways Yet again I booked Business flights to Newcastle. First time the Newcastle BA lounge was closed and today the Newcastle BA lounge has now closed and the Aspire lounge is closed too. Waste of time and money! 😡,[],2021-11-01 15:21:37+00:00
NickyClarke66,@British_Airways travelling back from Italy tomorrow - cannot find anywhere on your app or manage by booking to upload our new locator forms or covid vaccinations - it was there for the flight here - can you help?,[],2021-11-01 15:20:32+00:00
tottenham_j,"@British_Airways I already have done on previous occasions, the last being Thursday 28th October at 10:43am, I'm still awaiting your reply, not helped by the reward booking I wanted to change to is no longer available.",[],2021-11-01 15:14:10+00:00
Michael79632890,"@British_Airways hi, will you be putting on more flights london to Atlanta over Christmas?",[],2021-11-01 15:14:09+00:00
baddeley_kirst,@British_Airways  the uk are not offering Covid passports for under 18 year olds my question is I know he is able to fly without a Covid passport and a pcr will do but what about enjoying attractions and venues within New York I have read that  children 12 years plus need one,[],2021-11-01 15:12:14+00:00
CamilleVai,"@British_Airways Hello. Your website doesn’t work on three differents browsers. I would like to see the hours and prices for a multi city flight, anyone can help please ?",[],2021-11-01 15:09:34+00:00
dhaevernas,"@British_Airways thank you Rob! Can you please explain what would be these covid checks as well? Since I am flying domestically (London to Glasgow), I thought it was not necessary to take any COVID test or fill out the passenger locator form, I just have my vaccination pass",[],2021-11-01 15:09:30+00:00
politicalauren,"@British_Airways This has nothing to do with my DM, but thanks?",[],2021-11-01 15:09:28+00:00
sofia_costa04,@British_Airways its been over 1 month since I applied for compensation. No update from you and impossible to get through to customer service. Can I get an update please?!,[],2021-11-01 15:08:01+00:00
ConsultantGn,"@British_Airways a flight phobic passenger, paying £328 to confirm my seats for you to change my seats outbound and inbound without any notification is appalling. And, after holding for 50 minutes no-one can help me!!",[],2021-11-01 15:03:02+00:00
markwallcomms,@British_Airways how can I find out how much my voucher is worth,[],2021-11-01 15:02:37+00:00
Namane_Y,@British_Airways Did you say - Flexible booking opition? Since July i havent received my refund when you cancelled the flight.. tsa mo welang hole kwana!! Nxa!,[],2021-11-01 15:00:56+00:00
MsCindyLatin,@British_Airways two of my flights are missing from my itinerary. They are in my email but missing when I manage booking!!,[],2021-11-01 15:00:42+00:00
kjk39,@British_Airways hi - will the BAEC Club bar be at Twickenham this weekend?,[],2021-11-01 15:00:38+00:00
richheatonSM,@British_Airways I recently took out a BA Amex card as there was an offer on where you could get 20k points for a spend threshold. Having reached the spend when can I expect to see the points go into my account??,[],2021-11-01 14:59:41+00:00
ReenaK80,@British_Airways I have DM’d so many times. No reply. I requested a voucher 2 weeks ago - nothing. Now the holiday package I was choosing has gone up in price. Why won’t someone reply to my DM. No-one is answering phones either - frustrating!!,[],2021-11-01 14:58:04+00:00
_skar7,@British_Airways why does my business class booking say 0 bags?,[],2021-11-01 14:57:59+00:00
iamnirjharghosh,@British_Airways @British_Airways is the hallmark of Racism. Don't fly if you are brown/yellow/black.  The tears of former slaves is the fuel used by @British_Airways .   Avoid flying them at all costs. My sister lost ₹ 3.5 lakhs yesterday in Brussels due to BA arrogance.,[],2021-11-01 14:57:27+00:00
JustinP83964415,@British_Airways trying to contact you since early Friday morning to cancel this week's trip to Denmark and get a refund. Not spoken to anyone despite being on hold for over 2 hours and no one replying to DM's on here. What's going on?,[],2021-11-01 14:56:41+00:00
Ralphy_Baby,@British_Airways I think your bot is broken 🤦🏼‍♂️ @Sebinho9,[],2021-11-01 14:55:17+00:00
MikeHaliHali,@British_Airways please advise with regards to booking O7YUGF. I am waiting for a response to my earlier tweet and DM. I wish to fly this evening but I am unable to check in.,[],2021-11-01 14:53:57+00:00
bicialmeria,"@British_Airways Awful Club Europe check in at Malaga - 3 desks 2 queues and no filter for Business- told ""its a long queue""",[],2021-11-01 14:53:26+00:00
A_A_Edwards03,@British_Airways please can you tell me how to change my flight details as I tried online and it said to contact you so I did and you put the phone down.,[],2021-11-01 14:52:32+00:00
BenBlackbourn,"@British_Airways I need to use your 24 hours grace period as I made a mistake with my booking, but can't get through to anyone on customer service.",[],2021-11-01 14:52:17+00:00
SenesiAlioscia,@British_Airways Hi do you have an email address for complaints as opposed to your online forms? They do not cover my issue,[],2021-11-01 14:52:01+00:00
EAKendrick47,"@British_Airways I’ve been contacting you for 9 days &amp; still heard nothing back, it’s not acceptable, I can’t get through on the phone or live chat. Can you please respond? Thanks",[],2021-11-01 14:51:06+00:00
sosbornelaw,@British_Airways How exactly can I cancel my booking and obtain a refund if you cut me off every time I ring?,[],2021-11-01 14:46:31+00:00
justsayinghete,"@British_Airways Hey Rob... my sister,brother &amp; sister-in - law work for BA ...",[],2021-11-01 14:46:14+00:00
IAmJShaik,@British_Airways Thank You,[],2021-11-01 14:46:07+00:00
Adamtaylorgolf,@British_Airways Thanks but I have done all of that and have a reference number,[],2021-11-01 14:44:11+00:00
Marcelo81773214,@British_Airways Your customer service team closed my query before the issue was resolved. I DM you again and you ask me for my details again. Your refund team has my money and they are not contacting me to reverse the charge to another card. I need to get this sorted ASAP,[],2021-11-01 14:43:41+00:00
mamezito,"@British_Airways you cancelled flight all together at the very end, and we had to spend additional 3 days outside home with 2 kids and missed one school day",[],2021-11-01 14:39:43+00:00
alexclarke90,@British_Airways how can I get hold of someone to help me. I’ve received an email with booking details but I have not booked a flight. I believe someone has used my email address in error.,[],2021-11-01 14:39:29+00:00
nazcaramelo11,@British_Airways hello! I have a future travel voucher i need yo use. Where can i phone you? Telephone numbers dont Work . Please,[],2021-11-01 14:36:30+00:00
Ralphy_Baby,"@British_Airways It’s too late over 4 weeks later, I’ve been on holiday, flown back and lost my tan since I DM’d you",[],2021-11-01 14:36:09+00:00
marc_lyne,"@British_Airways stood at Amsterdam apo checkin, attendant can’t link my old ticket (e voucher from 2020 covid cancelled flight)… on hold with customer services now for over 30mins… HELP",[],2021-11-01 14:35:34+00:00
jxc1983,@British_Airways I have been trying to add an infant to my flight for 3 weeks. I have spent over 10 hours on the phone and have not been able to speak with anyone - the call repeatedly time's out. I need to speak with someone otherwise I will not be flying. Service is a disgrace.,[],2021-11-01 14:29:13+00:00
EMPSingleton,@British_Airways hello. I have just had to cancel a flight on-line as no-one is answering your phones. This means I have a Future Travel Voucher for a flight that was fully flexible and you have my money. I want my money back please. How do I do this? Thank you.,[],2021-11-01 14:25:30+00:00
hirendshah,"@British_Airways @andypse1 Seriously @British_Airways, can you stop asking people for more information.  This has been broken since Sunday morning and so many people have reported this issue.  You have neither acknowledged it nor made any visible effort to get it resolved!",[],2021-11-01 14:23:47+00:00
Mr_Robot_1993,"@British_Airways Hi! Hope you are safe and well :) On a recent flight the CSM raised a complaint that could not be resolved by them in flight. They stated I would have an email from BAEC by COP with a complaint reference number, but I have not had anything. This was a week ago.",[],2021-11-01 14:18:39+00:00
BobbySherdi,"@British_Airways As usual not picking up phones, not responding to DMs, no customer service what so ever. BA you are a disgrace and your CEO should be ashamed.",[],2021-11-01 14:16:20+00:00
reetajai,@British_Airways I am travelling to India with BA on 4 of Dec. I am taking my husband ashes with me. Please let me know what formalities I need to fulfill.,[],2021-11-01 14:15:03+00:00
ShobyAl1,@British_Airways CAN I GET SOME HELP. BEEN TRYING TO REACH YOU FOR OVER A WEEK!!!!!!!,[],2021-11-01 14:11:40+00:00
_georgiabishopx,@British_Airways do you need to have a supervised covid test in order to fly with your airline to the states? CDC says it has to be supervised but your website doesn’t mention it?,[],2021-11-01 14:11:25+00:00
22_geh,@British_Airways I have replied and sent private message.  I need a call to answer a question I have. Please remember this is not my fault as @British_Airways are who have messed me around and cost me hundreds.,[],2021-11-01 14:11:19+00:00
EmmaAllanWalls,"@British_Airways Hi, could someone chase the arrival baggage for flight BA1469 please? The whole passenger load have been waiting over 35mins - no bags so far!",[],2021-11-01 14:10:51+00:00
linsey_williams,@British_Airways is there anybody actually there!!,[],2021-11-01 14:07:54+00:00
AscharyaChakit,@British_Airways Paying 50000 is good but getting to see loved ones for free on video calls is FREE!!!!! Plus you get to say mummy mana kar rahi h as an excuse.,[],2021-11-01 14:07:02+00:00
harikanduri,"@British_Airways Hi kiran, i called the air suvidha team in india and they say “ask your airlines”, can you confirm from british airways perspective, if there is any clause for infants to have the test?",[],2021-11-01 14:04:50+00:00
_r_edwards,"@British_Airways @PLAYinCHOC Dear #BritishAirways, please do not collaborate in the #deportation of Remi Ali on flight #BA814 at 8.55am tomorrow. He is suicidal &amp; at risk of being sent back to death if returned to Denmark #StopThePlane #BA #StopDeportations https://t.co/LHYtcICCP3","[{'text': 'BritishAirways', 'indices': [34, 49]}, {'text': 'deportation', 'indices': [84, 96]}, {'text': 'BA814', 'indices': [119, 125]}, {'text': 'StopThePlane', 'indices': [226, 239]}, {'text': 'BA', 'indices': [240, 243]}, {'text': 'StopDeportations', 'indices': [244, 261]}]",2021-11-01 14:04:10+00:00
_r_edwards,"@British_Airways Dear #BritishAirways, please do not collaborate in the #deportation of Remi Ali on flight #BA814 at 8.55am tomorrow. He is suicidal &amp; at risk of being sent back to death if returned to Denmark #StopThePlane #BA #StopDeportations https://t.co/NnpC7Jji1I","[{'text': 'BritishAirways', 'indices': [22, 37]}, {'text': 'deportation', 'indices': [72, 84]}, {'text': 'BA814', 'indices': [107, 113]}, {'text': 'StopThePlane', 'indices': [214, 227]}, {'text': 'BA', 'indices': [228, 231]}, {'text': 'StopDeportations', 'indices': [232, 249]}]",2021-11-01 14:02:51+00:00
